"Country","Mean years of schooling","Women with Financial Account","Gender Inequality Index","Share of seats in parliament","Social Ins. and Gender Index","Domestic Violence"
"Dominican Republic",8.12,54.14,0.455,24.32,18.2,20.4
"Tajikistan",10.73,42.13,0.314,20,32.4,20.3
"Tunisia",7.22,28.36,0.296,22.58,47.6,20.3
"Estonia",13.14,98.38,0.086,29.7,14.1,20
"Jamaica",9.73,77.76,0.396,19.05,24.7,19.7
"Russia",12.17,76.13,0.225,16.45,22.3,19.6
"Greece",10.55,84.54,0.116,20.67,27.1,19
"Italy",10.38,91.62,0.069,35.26,13.5,19
"Portugal",9.26,90.62,0.075,38.7,11.2,19
"Indonesia",8.17,51.35,0.48,17.39,41.6,18.3
"Guatemala",6.62,42.09,0.479,19.38,28.6,18
"Paraguay",8.54,46.05,0.446,16.8,32.8,17.9
"Australia",12.72,99.2,0.097,36.56,16.1,16.9
"Philippines",9.39,38.85,0.43,28.05,52.8,16.9
"Sri Lanka",10.63,73.44,0.401,5.33,43,16.6
"Kazakhstan",11.89,60.29,0.19,22.08,22.5,16.5
"Korea",12.21,94.69,0.064,16.67,23.4,16.5
"Japan",12.85,98.06,0.094,14.51,24,15.4
"Lao",5.29,31.87,0.459,27.52,26.2,15.3
"Cyprus",12.17,90.01,0.086,17.86,28.3,15
"Ireland",12.67,95.31,0.093,24.31,17.1,15
"Malta",11.33,96.96,0.175,14.93,21.5,15
"Uruguay",8.93,60.63,0.288,20.93,22.2,14.8
"Mexico",8.75,33.29,0.322,48.41,29,14.1
"Azerbaijan",10.58,27.72,0.323,16.81,28.7,13.5
"Ukraine",11.4,61.32,0.234,20.52,21,13.2
"Bosnia-Herzegovina",9.82,54.74,0.149,21.05,21.8,13.1
"Austria",12.55,98.38,0.069,38.52,11.7,13
"Croatia",11.45,82.7,0.116,20.53,19.3,13
"Poland",12.47,87.96,0.115,27.86,17.4,13
"Slovenia",12.66,96.94,0.063,22.31,12.9,13
"Spain",10.25,91.64,0.07,41.86,14.3,13
"Burkina Faso",1.64,34.5,0.594,13.39,32.4,11.5
"Lebanon",8.72,32.91,0.411,4.69,56.2,10.4
"Switzerland",13.38,98.86,0.025,38.62,8.1,9.8
"Armenia",11.3,40.91,0.245,23.48,27.8,8.2
"Chile",10.58,71.27,0.247,22.73,36.1,6.7
"Georgia",13.13,63.61,0.331,14.77,24.8,6.1
"Singapore",11.62,96.31,0.065,23,27,6.1
"Canada",13.37,99.85,0.08,33.18,18.3,1.9
